iterations;buffer size;without trace;with trace;overhead ratio;trace time;decode time
52000;128;7.61;94.7521;1145.10%;8.211274;94.318
53000;128;8.05;94.2939;1071.35%;7.955772;93.8629
54000;128;7.56;95.3499;1161.24%;8.460303;95.0205
55000;128;8.36;100.574;1103.04%;8.694017;100.262
56000;128;8.35;99.112;1086.97%;8.674632;98.8155
57000;128;8.35;105.533;1163.87%;8.241817;105.25
58000;128;8.53;101.099;1085.22%;8.750043;100.722
59000;128;8.9;109.699;1132.57%;10.342465;109.366
60000;128;9.07;105.099;1058.75%;8.900776;104.797
61000;128;8.78;108.536;1136.17%;9.47059;108.24
62000;128;8.89;107.873;1113.42%;9.178329;107.541
63000;128;9.27;108;1065.05%;9.548014;107.666
64000;128;10.46;120.012;1047.34%;12.705566;119.615
65000;128;9.59;111.243;1059.99%;9.887653;110.56
66000;128;9.16;112.492;1128.08%;9.839286;112.147
67000;128;9.67;114.166;1080.62%;10.027667;113.825
68000;128;9.83;115.826;1078.29%;9.964325;115.518
69000;128;10.11;118.007;1067.23%;9.881429;117.716
70000;128;10.25;119.001;1060.99%;10.209886;118.689
71000;128;10.35;120.219;1061.54%;10.24958;119.918
72000;128;10.31;120.849;1072.15%;10.86382;120.477
73000;128;10.52;124.15;1080.13%;10.9447;123.846
74000;128;10.48;127.126;1113.03%;11.270617;126.816
75000;128;10.86;126.031;1060.51%;11.255779;125.711
76000;128;10.63;131.648;1138.46%;11.398429;131.31
77000;128;11.25;130.257;1057.84%;11.559239;129.886
78000;128;11.33;131.149;1057.54%;11.659911;130.79
79000;128;11.38;131.809;1058.25%;11.436169;131.483
80000;128;11.05;133.825;1111.09%;11.424717;133.506
81000;128;11.5;134.344;1068.21%;11.677765;134.023
82000;128;11.71;135.905;1060.59%;12.012227;135.52
83000;128;12.02;138.177;1049.56%;12.38162;137.88
84000;128;12.08;138.737;1048.49%;12.479385;138.442
85000;128;11.84;140.981;1090.72%;12.509579;140.689
86000;128;12.15;142.672;1074.26%;12.71824;142.288
87000;128;12.2;152.538;1150.31%;12.850099;152.138
88000;128;12.26;146.444;1094.49%;12.941367;146.003
89000;128;12.28;146.251;1090.97%;13.23764;145.834
90000;128;12.81;148.176;1056.72%;13.300348;147.76
91000;128;12.94;150.615;1063.95%;13.287008;150.287
92000;128;14.1;153.818;990.91%;14.352091;153.508
93000;128;13.38;152.602;1040.52%;13.6817;152.311
94000;128;13.54;153.766;1035.64%;13.752819;153.379
95000;128;13.29;155.899;1073.05%;13.634773;155.57
96000;256;13.95;171.156;1126.92%;14.370114;170.798
97000;256;14;170.647;1118.91%;14.337272;170.332
98000;256;13.94;174.416;1151.19%;14.280243;174.042
99000;256;14.4;174.8;1113.89%;15.073303;174.479
100000;256;14.31;176.728;1135.00%;14.651896;176.425
101000;256;14.43;177.344;1129.00%;14.873479;177.042
102000;256;14.7;180.122;1125.32%;15.007199;179.81
103000;256;14.81;180.649;1119.78%;15.103748;180.321
104000;256;14.9;180.174;1109.22%;15.207772;179.823
105000;256;15.05;183.114;1116.70%;14.711189;182.748
106000;256;15.07;186.025;1134.41%;15.562323;185.688
107000;256;15.24;191.348;1155.56%;15.116762;191
108000;256;15.45;187.624;1114.39%;15.654663;187.283
109000;256;15.7;189.458;1106.74%;16.176172;189.056
110000;256;15.74;190.419;1109.78%;15.867718;190.073
111000;256;15.81;192.496;1117.56%;16.14537;192.122
112000;256;15.54;194.43;1151.16%;16.563576;193.988
113000;256;15.97;198.651;1143.90%;16.454892;198.298
114000;256;15.98;194.861;1119.41%;16.461269;194.545
115000;256;16.18;197.518;1120.75%;16.982099;197.153
116000;256;16.27;200.979;1135.27%;16.631822;200.634
117000;256;16.54;199.464;1105.95%;17.039265;199.131
118000;256;16.65;203.317;1121.12%;17.138348;203.01
119000;256;17.07;206.256;1108.30%;17.557055;205.95
120000;256;17.08;206.338;1108.07%;17.619798;205.936
121000;256;17.08;208.212;1119.04%;17.462049;207.867
122000;256;17.35;209.178;1105.64%;17.82929;208.819
123000;256;18.58;211.256;1037.01%;18.529468;210.792
124000;256;17.64;211.142;1096.95%;18.234297;210.809
125000;256;18.01;212.187;1078.16%;18.040837;211.886
126000;256;18.28;214.08;1071.12%;18.126412;213.666
127000;256;18.21;215.111;1081.28%;18.297244;214.803
128000;256;18.16;217.498;1097.68%;18.262459;217.186
129000;256;18.44;220.465;1095.58%;18.902807;220.04
130000;256;18.31;220.095;1102.05%;19.173663;219.754
131000;256;18.25;221.406;1113.18%;18.956368;221.098
132000;256;19.22;223.059;1060.56%;19.110342;222.732
133000;256;19.02;224.921;1082.55%;19.294257;224.524
134000;256;19.02;224.982;1082.87%;20.058513;224.668
135000;256;19.1;228.181;1094.66%;19.426227;227.841
136000;256;19.48;229.348;1077.35%;19.708448;229.002
137000;256;19.41;231.661;1093.51%;19.851709;231.292
138000;256;19.72;231.556;1074.22%;19.785763;231.214
139000;256;19.88;232.63;1070.17%;20.078285;232.279
140000;256;19.81;235.717;1089.89%;20.10846;235.409
141000;256;20.38;237.214;1063.95%;20.4575;236.901
142000;256;19.91;238.12;1095.98%;20.934436;237.808
143000;256;20.32;238.783;1075.11%;20.743325;238.436
144000;256;20.38;241.279;1083.90%;21.017937;240.881
145000;256;20.22;242.968;1101.62%;21.003872;242.616
146000;256;20.63;257.232;1146.88%;21.26248;256.887
147000;256;21.61;245.781;1037.35%;21.323612;245.458
148000;256;20.97;246.082;1073.50%;21.511417;245.685
149000;256;20.94;248.562;1087.02%;21.844739;248.186
150000;256;21.5;257.039;1095.53%;21.27956;256.692
151000;256;21.89;252.093;1051.64%;21.794625;251.71
152000;256;21.36;253.122;1085.03%;22.054888;252.673
153000;256;21.59;253.84;1075.73%;22.391997;253.495
154000;256;21.9;257.939;1077.80%;22.19284;257.547
155000;256;21.61;259.738;1101.93%;22.376387;259.321
156000;256;22.17;259.216;1069.22%;22.665986;258.469
157000;256;22.58;259.881;1050.93%;22.368657;259.503
158000;256;22.2;261.7;1078.83%;22.78075;261.352
159000;256;22.42;263.08;1073.42%;22.759553;262.733
160000;256;23.08;264.155;1044.52%;22.751481;263.8
161000;256;22.74;265.847;1069.07%;23.143023;265.502
162000;256;22.88;267.996;1071.31%;23.182677;267.644
163000;256;23.27;267.31;1048.73%;23.037797;266.947
164000;256;23.18;269.211;1061.39%;23.447222;268.847
165000;256;23.12;272.182;1077.26%;24.170017;271.839
166000;256;23.2;270.867;1067.53%;24.062559;270.142
167000;256;23.51;273.503;1063.35%;24.397374;273.177
168000;256;23.57;306.61;1200.85%;24.331814;282.428
169000;256;24.4;276.378;1032.70%;24.41102;276.004
170000;256;24.08;281.081;1067.28%;24.766166;280.764
171000;256;24.83;283.021;1039.83%;25.216724;282.66
172000;256;24.62;284.523;1055.66%;24.49362;284.165
173000;256;24.59;283.997;1054.93%;24.568406;283.549
174000;256;24.52;282.8;1053.34%;25.127975;282.395
175000;256;24.98;285.808;1044.15%;25.481659;285.46
176000;256;25;286.659;1046.64%;25.287605;286.316
177000;256;25.11;287.695;1045.74%;25.393974;287.385
178000;256;25.18;290.61;1054.13%;25.762674;290.257
179000;256;25.1;298.116;1087.71%;25.659941;297.76
180000;256;25.72;297.637;1057.22%;25.815207;297.328
181000;256;25.97;293.563;1030.39%;25.827943;293.254
182000;256;25.5;296.595;1063.12%;26.478139;296.258
183000;256;25.95;300.34;1057.38%;26.410784;299.959
184000;256;26.04;298.913;1047.90%;25.98863;298.571
185000;256;25.67;303.298;1081.53%;26.918544;302.955
186000;256;26.37;301.129;1041.94%;27.070664;300.785
187000;256;26.25;303.935;1057.85%;26.818313;303.601
188000;256;26.12;304.943;1067.47%;27.21744;304.629
189000;256;26.47;309.827;1070.48%;26.327592;309.476
190000;512;26.7;343.406;1186.16%;27.136691;343.01
191000;512;26.92;335.396;1145.90%;27.600148;335.033
192000;512;26.67;337.174;1164.24%;27.566296;336.74
193000;512;27.06;336.399;1143.16%;27.442783;335.914
194000;512;26.9;336.204;1149.83%;27.790653;335.842
195000;512;27.34;341.735;1149.95%;27.861683;341.389
196000;512;27.61;347.781;1159.62%;28.28363;347.416
197000;512;27.59;344.667;1149.25%;28.009264;344.271
198000;512;28.14;359.353;1177.02%;28.585784;358.942
199000;512;27.78;347.212;1149.86%;28.324765;346.84
200000;512;28.13;349.623;1142.88%;28.324334;349.186
201000;512;28.67;349.778;1120.01%;29.255172;349.39
202000;512;28.61;350.659;1125.65%;28.888564;350.219
203000;512;28.69;354.548;1135.79%;28.875006;354.099
204000;512;29.12;355.695;1121.48%;29.443633;355.279
205000;512;28.93;356.058;1130.76%;29.053165;355.67
206000;512;28.99;355.011;1124.60%;29.209251;354.618
207000;512;29.36;362.873;1135.94%;29.629179;362.517
208000;512;29.86;357.724;1098.00%;29.727725;357.365
209000;512;29.53;361.584;1124.46%;29.860063;361.133
210000;512;29.86;361.691;1111.29%;30.280428;361.295
211000;512;29.65;362.945;1124.10%;30.211425;362.518
212000;512;29.59;367.313;1141.34%;30.275826;366.61
213000;512;30.35;364.901;1102.31%;29.940049;364.505
214000;512;30.59;367.35;1100.88%;29.966656;366.976
215000;512;30.26;367.482;1114.42%;31.02422;367.105
216000;512;30.52;367.878;1105.37%;31.047768;367.53
217000;512;33.99;370.367;989.64%;31.190499;370.017
218000;512;30.7;374.267;1119.11%;31.171478;373.789
219000;512;30.73;375.789;1122.87%;31.406325;375.432
220000;512;30.76;375.309;1120.12%;31.744788;374.914
221000;512;31.04;382.934;1133.68%;31.577956;382.582
222000;512;34.26;379.528;1007.79%;31.745966;379.171
